,Change in Length (mm) Run #1
153.0045,8.422
153.0377,8.4435
152.8883,8.461
152.7471,8.474
152.7887,8.485
152.9049,8.497
153.0211,8.5095
153.0876,8.5225
153.1125,8.5345
153.046,8.546
153.1623,8.558
153.2868,8.571
153.2951,8.5845
153.2287,8.597
153.1872,8.608
153.237,8.618
153.1955,8.6275
153.1872,8.6355
153.3865,8.6455
153.6189,8.658
153.6272,8.6715
153.6771,8.686
153.6355,8.7015
153.511,8.715
153.6189,8.728
153.8182,8.745
153.6106,8.76
153.6937,8.7745
153.785,8.791
153.785,8.807
153.7269,8.822
153.8929,8.838
153.9594,8.857
153.9178,8.875
153.9677,8.8945
153.9926,8.914
153.9344,8.9315
153.7601,8.9435
153.7518,8.954
153.8763,8.964
154.059,8.9755
154.2084,8.989
154.1088,9.001
154.2334,9.0135
154.2832,9.0265
154.3579,9.042
154.3662,9.059
154.3662,9.075
154.2832,9.09
154.1752,9.1025
154.2084,9.114
154.3164,9.1265
154.3911,9.1395
154.2832,9.1505
154.2666,9.16
154.2832,9.169
154.4575,9.18
154.5821,9.193
154.5572,9.2065
154.5572,9.2195
154.4907,9.232
154.8395,9.249
154.7398,9.2685
154.2998,9.2805
153.976,9.2865
154.2666,9.2945
154.881,9.3085
154.8229,9.3235
154.773,9.339
155.0221,9.3595
154.8478,9.3815
154.6236,9.3985
154.5073,9.4105
154.4658,9.4195
154.7315,9.431
154.881,9.4435
154.8561,9.456
154.8229,9.467
154.7564,9.4765
154.7813,9.485
154.9474,9.4945
154.9889,9.504
155.0553,9.514
155.0304,9.5235
155.1301,9.5335
155.1135,9.5435
155.1965,9.5545
155.1965,9.5645
155.1716,9.575
155.1882,9.5855
155.1051,9.5945
155.1633,9.603
155.3127,9.613
155.5535,9.626
155.5286,9.641
155.512,9.657
155.5037,9.6735
155.4373,9.689
155.2546,9.7015
155.3542,9.714
155.4539,9.727
155.5701,9.7415
155.4788,9.755
155.3708,9.766
155.5452,9.778
155.512,9.79
155.4124,9.8005
155.3044,9.809
155.5701,9.819
155.9603,9.835
155.8192,9.852
155.7694,9.8675
155.7279,9.882
155.6697,9.895
155.8192,9.909
155.9105,9.924
156.0102,9.9425
156.0102,9.9605
155.952,9.9785
155.8358,9.993
155.7943,10.006
155.9188,10.0195
156.0434,10.036
156.0683,10.0535
156.1513,10.073
156.06,10.0915
155.7777,10.104
155.8607,10.1155
155.9936,10.127
155.9354,10.137
155.9603,10.1465
156.0019,10.1555
156.3008,10.168
156.4336,10.184
156.3755,10.2015
156.1928,10.216
156.3091,10.232
156.4336,10.2515
156.3838,10.2725
156.1015,10.2875
155.8275,10.2965
156.0849,10.307
156.8072,10.329
156.5831,10.357
156.0766,10.3725
155.5867,10.3785
155.4124,10.383
156.0849,10.3915
156.5747,10.4025
156.6412,10.4155
156.6578,10.4295
156.608,10.443
156.6495,10.4585
156.7242,10.476
156.6412,10.493
156.4917,10.5065
156.4917,10.5185
156.5914,10.5305
156.7076,10.5425
156.7906,10.5555
156.8653,10.57
156.7906,10.584
156.7325,10.595
156.6993,10.6055
156.7574,10.616
156.9318,10.628
157.1061,10.642
157.2141,10.6595
157.1809,10.679
157.0812,10.698
157.048,10.715
156.9899,10.73
156.9401,10.7435
157.2556,10.7605
157.2141,10.7775
157.2224,10.794
157.2971,10.8115
157.1642,10.827
157.2556,10.8425
157.4299,10.8605
157.3967,10.8785
157.4548,10.8975
157.405,10.916
157.3303,10.9315
157.4133,10.948
157.4133,10.9635
157.4382,10.978
157.4299,10.991
157.4216,11.003
157.4465,11.0145
157.5296,11.027
157.6873,11.041
157.6624,11.056
157.5711,11.069
157.596,11.082
157.6873,11.0955
157.8368,11.1135
157.6707,11.1305
157.3718,11.141
157.2224,11.148
157.5794,11.157
158.036,11.1715
157.9364,11.1875
157.8534,11.2025
157.7039,11.215
157.787,11.2275
157.87,11.2415
158.1274,11.26
157.8534,11.2775
157.7039,11.2895
158.1108,11.3065
158.1606,11.3265
158.1606,11.348
158.0028,11.368
157.8451,11.383
157.8202,11.396
157.8451,11.408
157.9281,11.42
157.8368,11.429
157.9198,11.4385
158.0028,11.4485
158.227,11.4605
158.3017,11.4745
158.4014,11.4915
158.3682,11.5105
158.2934,11.529
158.3183,11.5465
158.2187,11.5615
158.1108,11.5735
158.2187,11.585
158.0859,11.5935
158.2436,11.603
158.5674,11.6155
158.6754,11.6305
158.7086,11.649
158.7169,11.6705
158.6338,11.692
158.5425,11.71
158.6172,11.727
158.6422,11.7445
158.8746,11.765
158.9244,11.79
158.7999,11.8125
158.6837,11.829
158.9494,11.8465
159.1237,11.8695
159.1071,11.895
158.9826,11.918
158.9161,11.936
158.775,11.95
158.8082,11.9625
158.8746,11.9745
158.8746,11.985
158.7418,11.994
158.6837,12.001
158.5259,12.0055
158.8248,12.012
159.2566,12.0205
159.2898,12.03
159.3894,12.042
159.3396,12.0565
159.3894,12.073
159.3894,12.0905
159.24,12.1055
159.3396,12.121
159.4807,12.1405
159.489,12.164
159.4226,12.187
159.2566,12.207
159.4226,12.228
159.5638,12.255
159.3064,12.2755
159.3064,12.291
159.6219,12.312
159.6634,12.3395
159.6634,12.37
159.406,12.3955
159.2067,12.4135
159.0407,12.4265
158.8497,12.438
158.5674,12.449
157.6458,12.4625
